59	179
40	88
152	199
185	98
95	165
71	106
151	111
170	87
153	71
141	112
73	74
171	181
153	163
27	180
178	147
61	37
126	53
77	30
52	14
80	100
179	103
6	82
14	128
169	167
151	62
31	24
137	3
157	42
118	136
22	48
83	84
85	161
89	114
143	142
128	23
194	59
126	0
93	141
81	14
60	32
77	92
9	166
47	118
8	165
55	183
13	90
67	50
52	108
116	195
50	196
171	196
7	97
197	100
190	30
114	3
62	191
95	23
109	94
94	70
59	101
53	24
191	72
26	43
180	94
191	183
90	162
179	97
11	176
197	154
6	63
157	21
7	4
196	116
98	90
186	109
191	39
85	135
111	63
178	92
157	121
75	47
83	54
96	47
183	45
1	141
108	110
114	115
114	63
184	12
153	170
73	97
10	158
32	73
21	162
117	178
84	144
177	119
151	25
166	134
70	119
